Year of application,Geographical region,Nationality,Applications,Initial decisions,Granted asylum,Granted HP/DL,Other grants,Refused,Applications withdrawn,Initial decisions not yet known,Appeals lodged,Allowed appeals,Dismissed appeals,Withdrawn appeals,Appeal outcome not yet known,Enforced returns,Voluntary returns,Assisted returns (Subset of Voluntary returns),Controlled returns (Subset of Voluntary returns),Other verified returns (Subset of Voluntary returns),Final outcome: Grants of asylum,Final outcomes: Grants of HP/DL and other,Final outcomes: Refused asylum or HP or DL or other leave,Final outcome: Withdrawn application,Final outcome: Cases with final outcome not yet known
2008,Other,Montserrat (British),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Africa North,Morocco,38,23,3,1,0,19,14,1,14,4,10,0,0,12,12,1,4,7,4,3,16,14,1
2008,Africa Sub-Saharan,Mozambique,4,4,0,0,0,4,0,0,3,1,2,0,0,2,0,0,0,0,0,1,3,0,0
2008,Africa Sub-Saharan,Namibia,10,8,0,0,0,8,2,0,5,0,5,0,0,5,2,2,0,0,0,0,8,2,0
2008,Oceania,Nauru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Asia South,Nepal,20,17,1,0,0,16,3,0,10,0,8,2,0,7,6,4,0,2,1,0,16,3,0
2008,EU 14,Netherlands,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2008,America Central and South,Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,New Caledonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Nicaragua,3,3,0,0,0,3,0,0,2,0,2,0,0,1,2,1,1,0,0,0,3,0,0
2008,Africa Sub-Saharan,Niger,3,2,0,0,0,2,1,0,1,0,1,0,0,3,0,0,0,0,0,0,2,1,0
2008,Africa Sub-Saharan,Nigeria,816,649,8,43,0,598,162,5,307,47,235,19,6,378,59,25,23,11,32,63,550,162,9
2008,Oceania,Niue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,Norfolk Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Oceania,Northern Mariana Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Europe Other,Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,Middle East,Occupied Palestinian Territories,227,164,9,12,0,143,61,2,93,9,76,6,2,29,30,9,10,11,14,15,134,60,4
2008,Middle East,Oman,2,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2008,Other,Other and unknown,149,13,0,2,0,11,3,133,16,3,11,1,1,18,7,3,3,1,2,3,10,3,131
2008,Asia South,Pakistan,1201,972,67,48,1,856,218,11,699,86,564,30,19,282,262,169,64,29,137,60,757,218,29
2008,Oceania,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Panama,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2008,Oceania,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,America Central and South,Peru,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
